2026-08-01 14:58:26,970 | WARNING | PUSH2 used: __main__.fake_push2_call
2026-08-01 16:11:19,450 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:20,421 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:21,421 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:22,420 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:23,409 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:24,459 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:25,402 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:26,411 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:27,412 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:28,429 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:29,451 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:30,451 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:31,406 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:32,421 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:33,407 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:34,411 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:35,406 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:36,422 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:37,651 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:38,461 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:39,445 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:40,467 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:41,469 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:42,414 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:43,432 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:44,422 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:45,427 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:46,430 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:47,411 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:48,396 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:49,409 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:50,414 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:51,435 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:52,413 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:53,434 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:54,641 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:55,399 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:56,425 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:57,682 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:58,429 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:11:59,405 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:00,426 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:01,666 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:02,411 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:03,409 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:04,459 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:05,444 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:06,415 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:07,433 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:08,418 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:09,416 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:10,417 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:11,413 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:12,403 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:13,411 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:14,443 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:15,656 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:16,404 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:17,415 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:18,421 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:19,403 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:20,429 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:21,433 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:22,428 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:23,413 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:24,399 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:25,460 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:26,419 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:27,403 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:28,443 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:29,426 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:30,456 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:31,445 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:32,411 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:33,440 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:34,705 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:35,422 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:36,429 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:37,424 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:38,421 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:39,414 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:40,400 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:41,408 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:42,422 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:43,424 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:44,423 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:45,410 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:46,438 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:47,687 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:48,424 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:49,454 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:50,700 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:51,468 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:52,475 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:53,450 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:54,455 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:55,445 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:56,458 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:57,469 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:58,474 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:12:59,464 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:00,474 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:01,469 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:02,451 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:03,479 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:04,467 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:05,452 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:06,462 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:07,465 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:08,456 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:09,459 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:10,454 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:11,467 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:12,491 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:13,485 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:14,469 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:15,481 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:16,468 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:17,719 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:18,456 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:19,467 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:20,742 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:21,492 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:22,460 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:23,500 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:24,467 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:25,446 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:26,449 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:27,740 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:28,416 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:29,417 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:30,453 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:31,457 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:32,461 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:33,427 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:34,424 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:35,423 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:36,418 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:37,438 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:38,728 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:39,410 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:40,408 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:41,408 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:42,422 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:43,431 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:44,440 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:45,426 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:46,421 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:47,441 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:48,405 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:49,404 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:50,453 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:51,610 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:52,683 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:53,410 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:54,409 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:55,434 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:56,413 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:57,436 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:58,410 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:13:59,692 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
2026-08-01 16:14:00,653 | WARNING | PUSH2 used: stock_common.sc_datasource.get_em_quote_full
